subject,labelType,horizon,weighting,regime,meanIC,stdIC,icIR,tStat,neweyWestTStat,nDates
fundamental,fwd,21,EW,ALL,0.009487,0.093907,0.101028,3.394588,0.890299,1129
fundamental,fwd,63,EW,ALL,0.012021,0.097166,0.123718,4.078944,0.653641,1087
fundamental,fwd,1,EW,BULL,0.001106,0.081561,0.013566,0.324736,0.312553,573
fundamental,fwd,3,EW,BULL,0.000471,0.089705,0.005253,0.125739,0.081909,573
fundamental,fwd,5,EW,BULL,0.000974,0.091338,0.010662,0.255214,0.134533,573
fundamental,fwd,10,EW,BULL,0.00254,0.096169,0.026414,0.631732,0.238044,572
fundamental,fwd,21,EW,BULL,0.002107,0.101329,0.02079,0.497225,0.136936,572
fundamental,fwd,63,EW,BULL,0.005157,0.099709,0.051724,1.237057,0.236425,572
fundamental,fwd,1,EW,BEAR,0.004417,0.078331,0.056385,0.552458,0.545834,96
fundamental,fwd,3,EW,BEAR,0.007906,0.080327,0.098426,0.964372,0.693386,96
fundamental,fwd,5,EW,BEAR,0.001115,0.082062,0.013582,0.133077,0.078893,96
fundamental,fwd,10,EW,BEAR,-0.010521,0.076264,-0.137953,-1.351662,-0.573483,96
fundamental,fwd,21,EW,BEAR,-0.009625,0.067172,-0.143289,-1.403937,-0.661733,96
fundamental,fwd,63,EW,BEAR,-0.04775,0.079609,-0.599806,-5.753141,-1.846372,92
fundamental,fwd,1,EW,SIDEWAYS,0.008924,0.081602,0.109363,2.025432,2.050729,343
fundamental,fwd,3,EW,SIDEWAYS,0.013463,0.076527,0.17593,3.248756,2.350693,341
fundamental,fwd,5,EW,SIDEWAYS,0.014018,0.076594,0.183012,3.369611,1.905659,339
fundamental,fwd,10,EW,SIDEWAYS,0.019842,0.077599,0.255698,4.680037,2.056922,335
fundamental,fwd,21,EW,SIDEWAYS,0.033414,0.085901,0.38898,7.001636,2.382654,324
fundamental,fwd,63,EW,SIDEWAYS,0.039206,0.090501,0.433213,7.326293,2.187869,286
fundamental,fwd,1,EW,HIGH_VOL,0.00953,0.085868,0.110988,1.275157,1.39598,132
fundamental,fwd,3,EW,HIGH_VOL,0.007682,0.087232,0.088062,1.011755,0.710541,132
fundamental,fwd,5,EW,HIGH_VOL,0.013485,0.085921,0.156944,1.803152,1.109613,132
fundamental,fwd,10,EW,HIGH_VOL,0.013886,0.085972,0.161521,1.855736,0.952091,132
fundamental,fwd,21,EW,HIGH_VOL,-0.003742,0.085325,-0.043861,-0.50392,-0.217978,132
fundamental,fwd,63,EW,HIGH_VOL,0.023833,0.087787,0.27149,3.119186,0.823099,132
fundamental,xs,1,EW,ALL,0.004413,0.08219,0.053697,1.820177,1.816981,1149
fundamental,xs,3,EW,ALL,0.005887,0.085242,0.069058,2.338822,1.524582,1147
fundamental,xs,5,EW,ALL,0.006422,0.086229,0.074474,2.520038,1.319248,1145
fundamental,xs,10,EW,ALL,0.007847,0.088712,0.088459,2.986731,1.12335,1140
fundamental,xs,21,EW,ALL,0.009483,0.093913,0.100974,3.392779,0.889831,1129
fundamental,xs,63,EW,ALL,0.012018,0.097164,0.123692,4.078086,0.65351,1087
fundamental,xs,1,EW,BULL,0.001108,0.081561,0.013587,0.325246,0.31304,573
fundamental,xs,3,EW,BULL,0.000473,0.089706,0.005272,0.126203,0.08221,573
fundamental,xs,5,EW,BULL,0.000972,0.091336,0.010643,0.254762,0.134289,573
fundamental,xs,10,EW,BULL,0.002538,0.096172,0.026395,0.631277,0.237868,572
fundamental,xs,21,EW,BULL,0.002098,0.101342,0.020701,0.495102,0.136357,572
fundamental,xs,63,EW,BULL,0.005154,0.099707,0.05169,1.236238,0.236275,572
fundamental,xs,1,EW,BEAR,0.004417,0.078331,0.056385,0.552458,0.545834,96
fundamental,xs,3,EW,BEAR,0.007906,0.080327,0.098426,0.964372,0.693386,96
fundamental,xs,5,EW,BEAR,0.001115,0.082062,0.013582,0.133077,0.078893,96
fundamental,xs,10,EW,BEAR,-0.010521,0.076264,-0.137953,-1.351662,-0.573483,96
fundamental,xs,21,EW,BEAR,-0.009625,0.067172,-0.143289,-1.403937,-0.661733,96
fundamental,xs,63,EW,BEAR,-0.04775,0.079609,-0.599806,-5.753141,-1.846372,92
fundamental,xs,1,EW,SIDEWAYS,0.00893,0.081601,0.109436,2.02678,2.052075,343
fundamental,xs,3,EW,SIDEWAYS,0.013457,0.076537,0.175831,3.246925,2.349388,341
fundamental,xs,5,EW,SIDEWAYS,0.014021,0.076603,0.18303,3.36994,1.905894,339
fundamental,xs,10,EW,SIDEWAYS,0.019842,0.077599,0.255698,4.680037,2.056922,335
fundamental,xs,21,EW,SIDEWAYS,0.033414,0.085897,0.388995,7.001915,2.382669,324
fundamental,xs,63,EW,SIDEWAYS,0.039203,0.090498,0.433191,7.325927,2.18764,286
fundamental,xs,1,EW,HIGH_VOL,0.00953,0.085868,0.110988,1.275157,1.39598,132
fundamental,xs,3,EW,HIGH_VOL,0.007682,0.087232,0.088062,1.011755,0.710541,132
