subject,labelType,horizon,weighting,regime,decile,nObs,meanRet,medianRet
trend,fwd,3,EW,BULL,3,9511,0.1775,0.1135
trend,fwd,3,EW,BULL,4,9395,0.2181,0.1219
trend,fwd,3,EW,BULL,5,9341,0.1894,0.1148
trend,fwd,3,EW,BULL,6,9604,0.3369,0.2041
trend,fwd,3,EW,BULL,7,9531,0.3197,0.143
trend,fwd,3,EW,BULL,8,9375,0.221,0.1268
trend,fwd,3,EW,BULL,9,9554,0.2853,0.1405
trend,fwd,3,EW,BULL,10,9181,0.2798,0.1715
trend,fwd,3,VW,BULL,1,9741,0.1677,0.0413
trend,fwd,3,VW,BULL,2,9418,0.0093,0
trend,fwd,3,VW,BULL,3,9511,0.1031,0.1135
trend,fwd,3,VW,BULL,4,9395,0.1699,0.1219
trend,fwd,3,VW,BULL,5,9341,0.1805,0.1148
trend,fwd,3,VW,BULL,6,9604,0.2124,0.2041
trend,fwd,3,VW,BULL,7,9531,0.3296,0.143
trend,fwd,3,VW,BULL,8,9375,0.1005,0.1268
trend,fwd,3,VW,BULL,9,9554,0.1913,0.1405
trend,fwd,3,VW,BULL,10,9181,0.1782,0.1715
trend,fwd,5,EW,BULL,1,9741,0.2405,0.0503
trend,fwd,5,EW,BULL,2,9418,0.1434,0.0216
trend,fwd,5,EW,BULL,3,9511,0.2821,0.1327
trend,fwd,5,EW,BULL,4,9395,0.2926,0.1827
trend,fwd,5,EW,BULL,5,9341,0.3296,0.2645
trend,fwd,5,EW,BULL,6,9604,0.5395,0.3756
trend,fwd,5,EW,BULL,7,9531,0.5235,0.2864
trend,fwd,5,EW,BULL,8,9375,0.3319,0.1292
trend,fwd,5,EW,BULL,9,9554,0.4935,0.2003
trend,fwd,5,EW,BULL,10,9181,0.4793,0.3225
trend,fwd,5,VW,BULL,1,9741,0.247,0.0503
trend,fwd,5,VW,BULL,2,9418,0.055,0.0216
trend,fwd,5,VW,BULL,3,9511,0.1634,0.1327
trend,fwd,5,VW,BULL,4,9395,0.22,0.1827
trend,fwd,5,VW,BULL,5,9341,0.2356,0.2645
trend,fwd,5,VW,BULL,6,9604,0.395,0.3756
trend,fwd,5,VW,BULL,7,9531,0.4909,0.2864
trend,fwd,5,VW,BULL,8,9375,0.1461,0.1292
trend,fwd,5,VW,BULL,9,9554,0.3722,0.2003
trend,fwd,5,VW,BULL,10,9181,0.2747,0.3225
trend,fwd,10,EW,BULL,1,9724,0.5025,0.1171
trend,fwd,10,EW,BULL,2,9401,0.2476,0.0861
trend,fwd,10,EW,BULL,3,9494,0.5112,0.1659
trend,fwd,10,EW,BULL,4,9379,0.5735,0.3495
